Id,Cat,Carb(g),Sugars(g),Prot(g),fat(g),Calcium(mg),Carotene- beta (µg),Fatty acids- total saturated (g),Fatty acids- total trans (g),Folate(µg),Iodine(µg),Iron(mg),Magnesium(mg),omega6(g),omega3(g),Potassium(mg),Vit B12(µg),Vit C(mg)
80 Beans- Dry- Carioca (0% moisture),4,0.0,0.0,25.2,1.44,194.0,0.0,0.0,0.0,0.0,0.0,5.87,179.0,0.0,0.0,1390.0,0.0,0.0
81 Beans- Dry- Cranberry (0% moisture),4,0.0,0.0,24.4,1.23,152.0,0.0,0.0,0.0,0.0,0.0,5.26,166.0,0.0,0.0,1340.0,0.0,0.0
82 Beans- Dry- Light Red Kidney (0% moisture),4,0.0,0.0,25.0,1.03,103.0,0.0,0.0,0.0,0.0,0.0,6.95,158.0,0.0,0.0,1540.0,0.0,0.0
83 Beans- Dry- Pink (0% moisture),4,0.0,0.0,23.4,1.2,137.0,0.0,0.0,0.0,0.0,0.0,5.46,164.0,0.0,0.0,1490.0,0.0,0.0
84 Beans- Dry- Dark Red Kidney (0% moisture),4,0.0,0.0,25.9,1.31,98.0,0.0,0.0,0.0,0.0,0.0,6.58,164.0,0.0,0.0,1490.0,0.0,0.0
85 Beans- Dry- Navy (0% moisture),4,0.0,0.0,24.1,1.51,229.0,0.0,0.0,0.0,0.0,0.0,5.29,180.0,0.0,0.0,1470.0,0.0,0.0
86 Beans- Dry- Small White (0% moisture),4,0.0,0.0,24.5,1.32,236.0,0.0,0.0,0.0,0.0,0.0,4.93,182.0,0.0,0.0,1540.0,0.0,0.0
87 Beans- Dry- Small Red (0% moisture),4,0.0,0.0,23.5,1.28,149.0,0.0,0.0,0.0,0.0,0.0,4.95,167.0,0.0,0.0,1520.0,0.0,0.0
88 Beans- Dry- Black (0% moisture),4,0.0,0.0,24.4,1.45,191.0,0.0,0.0,0.0,0.0,0.0,5.34,180.0,0.0,0.0,1540.0,0.0,0.0
89 Beans- Dry- Pinto (0% moisture),4,0.0,0.0,23.7,1.24,161.0,0.0,0.0,0.0,0.0,0.0,5.4,170.0,0.0,0.0,1510.0,0.0,0.0
90 Beans- Dry- Great Northern (0% moisture),4,0.0,0.0,24.7,1.24,192.0,0.0,0.0,0.0,0.0,0.0,5.48,176.0,0.0,0.0,1520.0,0.0,0.0
91 Broccoli- raw,1,6.27,1.4,2.57,0.34,46.0,93.0,0.039,0.0,65.0,0.0,0.69,21.0,0.0,0.0,303.0,0.0,91.3
92 Ketchup- restaurant,1,26.8,21.8,1.11,0.55,14.0,0.0,0.0,0.0,0.0,0.0,0.43,13.5,0.0,0.0,249.0,0.0,0.0
93 Eggs- Grade A- Large- egg white,2,2.36,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94 Eggs- Grade A- Large- egg yolk,2,1.02,0.0,16.2,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95 Oil- canola,7,0.0,0.0,0.0,0.0,0.0,0.0,6.61,0.0,0.0,0.0,0.0,0.0,17.8,7.45,0.0,0.0,0.0
96 Oil- corn,7,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,51.9,1.04,0.0,0.0,0.0
97 Oil- soybean,7,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,50.9,6.62,0.0,0.0,0.0
98 Oil- olive- extra virgin,7,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,8.4,0.651,0.0,0.0,0.0
99 Eggs- Grade A- Large- egg whole,2,0.96,0.2,12.4,9.96,48.0,0.0,3.2,0.0,71.0,49.1,1.67,11.4,1.46,0.0,132.0,1.02,0.0
100 Pork- cured- bacon- cooked- restaurant,15,2.1,3.14,40.9,36.5,13.0,0.0,12.6,0.15,0.0,0.0,1.28,36.5,5.23,0.227,557.0,0.0,0.0
101 Butter- stick- unsalted,2,0.0,0.0,0.0,81.5,14.0,0.0,0.0,0.0,0.0,0.0,0.03,1.6,0.0,0.0,19.0,0.0,0.0
102 Flour- wheat- all-purpose- enriched- bleached,5,77.3,0.0,10.9,1.48,19.0,0.0,0.0,0.0,160.0,0.0,5.62,26.7,0.0,0.0,136.0,0.0,0.0
103 Flour- wheat- all-purpose- enriched- unbleached,5,73.2,0.0,13.1,1.48,21.0,0.0,0.0,0.0,159.0,0.0,5.41,33.3,0.0,0.0,135.0,0.0,0.0
104 Flour- wheat- all-purpose- unenriched- unbleached,5,74.6,0.0,12.0,1.7,22.0,0.0,0.0,0.0,23.0,0.0,1.18,36.1,0.0,0.0,150.0,0.0,0.0
105 Flour- whole wheat- unenriched,5,71.2,0.0,15.1,2.73,38.0,0.0,0.0,0.0,39.0,0.0,3.86,136.0,0.0,0.0,376.0,0.0,0.0
106 Flour- bread- white- enriched- unbleached,5,72.8,0.0,14.3,1.65,19.0,0.0,0.0,0.0,145.0,0.0,5.55,35.9,0.0,0.0,127.0,0.0,0.0
107 Flour- rice- white- unenriched,5,79.8,0.0,6.94,1.3,6.0,0.0,0.0,0.0,16.0,0.0,0.22,22.9,0.0,0.0,75.0,0.0,0.0
108 Flour- corn- yellow- fine meal- enriched,5,80.8,1.04,6.2,1.74,0.0,0.0,0.0,0.0,155.0,0.0,4.44,30.1,0.0,0.0,144.0,0.0,0.0
109 Butter- stick- salted,2,0.0,0.58,0.0,82.2,21.0,168.0,45.6,0.0,5.0,0.0,0.06,1.6,1.89,0.308,23.0,0.0,0.0
110 Onions- red- raw,1,9.93,5.76,0.94,0.1,17.0,0.0,0.0,0.0,0.0,0.0,0.24,11.4,0.0,0.0,197.0,0.0,8.1
111 Onions- yellow- raw,1,8.61,5.82,0.83,0.05,15.0,0.0,0.0,0.0,0.0,0.0,0.28,9.0,0.0,0.0,182.0,0.0,8.2
112 Garlic- raw,1,28.2,0.0,6.62,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
113 Flour- soy- defatted,4,32.9,0.0,51.1,3.33,338.0,0.0,0.0,0.0,0.0,0.0,7.34,313.0,0.0,0.0,2480.0,0.0,0.0
114 Flour- soy- full-fat,4,27.9,0.0,38.6,20.7,258.0,0.0,0.0,0.0,0.0,0.0,9.51,254.0,0.0,0.0,1860.0,0.0,0.0
115 Flour- rice- brown,5,75.5,0.0,7.19,3.85,10.0,0.0,0.0,0.0,0.0,0.0,1.5,124.0,0.0,0.0,265.0,0.0,0.0
116 Flour- rice- glutinous,5,80.1,0.0,6.69,1.16,10.0,0.0,0.0,0.0,0.0,0.0,0.34,21.2,0.0,0.0,80.0,0.0,0.0
117 Flour- pastry- unenriched- unbleached,5,77.2,0.0,8.75,1.64,17.0,0.0,0.0,0.0,0.0,0.0,0.87,22.4,0.0,0.0,142.0,0.0,0.0
118 Onions- white- raw,1,7.68,5.76,0.89,0.13,21.0,0.0,0.0,0.0,0.0,0.0,0.15,9.3,0.0,0.0,141.0,0.0,0.0
119 Bananas- overripe- raw,3,20.1,15.8,0.73,0.22,0.0,10.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7
120 Bananas- ripe and slightly ripe- raw,3,23.0,15.8,0.74,0.29,5.0,8.0,0.0,0.0,14.0,0.0,0.0,28.0,0.0,0.0,326.0,0.0,12.3
121 Apples- red delicious- with skin- raw,3,14.8,12.2,0.188,0.212,4.66,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,95.3,0.0,0.0
122 Apples- fuji- with skin- raw,3,15.7,13.3,0.148,0.162,5.98,0.0,0.0,0.0,0.0,0.0,0.015,4.67,0.0,0.0,104.0,0.0,0.0
123 Apples- gala- with skin- raw,3,14.8,11.8,0.133,0.15,6.64,0.0,0.0,0.0,0.812,0.0,0.06,4.95,0.0,0.0,106.0,0.0,0.0
124 Apples- granny smith- with skin- raw,3,14.1,10.7,0.266,0.138,5.48,0.0,0.0,0.0,0.0,0.0,0.07,5.06,0.0,0.0,116.0,0.0,0.0
125 Apples- honeycrisp- with skin- raw,3,14.7,12.4,0.102,0.1,3.87,0.0,0.0,0.0,0.0,0.0,0.0,4.15,0.0,0.0,98.0,0.0,0.0
126 Oil- peanut,7,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.172,0.0,0.0,0.0,0.0,19.6,0.318,0.0,0.0,0.0
127 Oil- sunflower,7,0.0,0.0,0.0,0.0,0.0,0.0,8.99,0.116,0.0,0.0,0.0,0.0,20.5,0.163,0.0,0.0,0.0
128 Oil- safflower,7,0.0,0.0,0.0,0.0,0.0,0.0,7.65,0.129,0.0,0.0,0.0,0.0,13.6,0.15,0.0,0.0,0.0
129 Oil- olive- extra light,7,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.116,0.0,0.0,0.0,0.0,9.71,0.607,0.0,0.0,0.0
130 Mushroom- lion's mane,1,7.59,0.0,2.5,0.256,0.0,0.0,0.0,0.0,29.6,0.0,0.688,11.7,0.0,0.0,443.0,0.0,0.0
131 Mushroom- oyster,1,6.94,0.0,2.9,0.188,0.0,0.0,0.0,0.0,63.1,0.0,0.698,13.9,0.0,0.0,282.0,0.0,0.0
132 Mushrooms- shiitake,1,8.17,0.0,2.41,0.195,0.766,0.0,0.0,0.0,32.1,0.0,0.144,14.1,0.0,0.0,243.0,0.0,0.0
133 Mushrooms- white button,1,4.08,0.0,2.89,0.371,5.46,0.0,0.0,0.0,34.8,0.0,0.227,10.2,0.0,0.0,373.0,0.0,0.0
134 Soy milk- unsweetened- plain- shelf stable,4,1.29,0.557,3.55,2.12,101.0,0.0,0.314,0.0,19.7,0.0,0.542,21.5,0.988,0.166,158.0,0.393,0.0
135 Almond milk- unsweetened- plain- shelf stable,12,0.337,0.0,0.555,1.22,173.0,0.0,0.104,0.0,0.0,0.0,0.29,6.78,0.276,0.001,30.8,0.338,0.0
136 Spinach- baby,1,2.41,0.0,2.85,0.619,68.4,3400.0,0.0,0.0,116.0,0.0,1.26,92.9,0.0,0.0,582.0,0.0,26.5
137 Spinach- mature,1,2.64,0.0,2.91,0.604,66.6,3670.0,0.0,0.0,113.0,6.09,1.05,93.0,0.0,0.0,460.0,0.0,30.3
138 Tomato- roma,1,3.84,0.0,0.696,0.425,9.96,276.0,0.0,0.0,9.99,0.0,0.103,8.09,0.0,0.0,193.0,0.0,17.8
139 Flour- 00,5,74.4,0.0,11.4,1.52,18.7,0.0,0.0,0.0,13.5,0.0,0.986,25.8,0.0,0.0,136.0,0.0,0.0
140 Flour- spelt- whole grain,5,70.7,0.0,14.5,2.54,30.0,0.0,0.0,0.0,38.4,0.0,3.77,124.0,0.0,0.0,350.0,0.0,0.0
141 Flour- semolina- coarse and semi-coarse,5,73.8,0.0,11.7,1.6,17.2,0.0,0.0,0.0,168.0,0.0,1.55,35.2,0.0,0.0,174.0,0.0,0.0
142 Flour- semolina- fine,5,72.0,0.0,13.3,1.84,19.8,0.0,0.0,0.0,164.0,0.0,2.43,46.3,0.0,0.0,208.0,0.0,0.0
143 Apple juice- with added vitamin C- from concentrate- shelf stable,3,11.4,10.3,0.086,0.286,7.1,0.0,0.0,0.0,3.09,0.0,0.04,4.86,0.0,0.0,95.9,0.0,51.2
144 Orange juice- no pulp- not fortified- from concentrate- refrigerated,3,10.3,8.28,0.734,0.325,12.8,0.0,0.0,0.0,29.8,0.0,0.065,10.6,0.0,0.0,180.0,0.0,26.9
